Designator,Footprint,Quantity,Value,
"C1, C2",402,2,15p,
"C10, C8",402,2,1u,
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",402,10,100n,
"C3, C4",805,2,10u,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5,4,MountingHole,
J2,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified,1,USB_B_Micro,
"R1, R3",402,2,1k,
"R2, R6",402,2,4.7,
"R4, R5",402,2,27,
SW2,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,UBUT,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,RP2040-QFN-56,1,RP2040,
U4,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT31-DIS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
