Designator,Mid X,Mid Y,Rotation,Layer
C1,152.386066,-114.711781,180,top
C10,161.48,-100.9,0,top
C11,159.406066,-106.711781,0,top
C12,153.3,-97.72,90,top
C13,154.906066,-111.181781,270,top
C14,161.47,-99.65,0,top
C15,147.406066,-106.211781,180,top
C16,157.7,-98.651781,90,top
C2,155.406066,-114.711781,0,top
C3,164.356066,-83.711781,0,top
C4,165.406066,-96.711781,0,top
C5,140.55,-101.27,180,top
C6,156.406066,-111.201781,270,top
C7,152.15,-97.691781,90,top
C8,156.6,-98.66,90,top
C9,159.38,-105.25,0,top
J2,154.906066,-78.211781,180,top
R1,147.916066,-100.211781,180,top
R2,146.426066,-103.711781,180,top
R3,153.406066,-111.221781,270,top
R4,154.4,-98.64,270,top
R5,155.5,-98.661781,270,top
R6,146.406066,-102.711781,180,top
SW2,144.861066,-91.461781,0,top
U1,164.706066,-90.711781,90,top
U3,153.468566,-105.011781,0,top
U4,142.231066,-103.461781,180,top
Y1,154.006066,-117.861781,0,top
